Input,Output,,,,
こんにちは,{{USER}}、こんにちは :smile:,,,,
さよなら,{{USER}}、さよなら :smile:,,,,
勤怠管理,"Slackでの勤怠管理の説明をします。
#a-timesheets に「おはよう」「おつかれさま」などと打つと現在時刻で打刻されます。
「おはよう 10:00」と打つと10:00に打刻されるようになります。 :mantelpiece_clock:
細かい使い方はコチラをご覧下さい→https://nextremer.esa.io/posts/379",,,,
休暇申請,"休暇申請をするときは、（Dテクは）久保寺さん、外丸さん、（高知メンバーは）興梠さんに事前に確認するようにして下さい。
その後 all@nextremer.com に勤怠のメールを送信して下さい。
GoogleCalendarへの登録もお願いします。 :date:",,,,
経理申請,"アルバイト/社員でやり方が異なりますので注意してください。
建て替えた交通費、経費については、当月末最終営業日までに申請するようにしてください。
つまり9月に使ったお金は、9月末までに申請するということです。
年末年始や給与日までに連休を挟む場合は、別途連絡します。
Gastoroの使い方はマニュアルを参考にしてください。→ https://nextremer.esa.io/posts/379 :moneybag:",,,,
メンション,"メンションは基本的に「何か行動を起こしてほしい人」または「この人には絶対知らせなければいけないこと」に対して使いましょう。メンションされた人には 通知が飛びます。
知っていても知らなくても問題ない、後でウォッチしてもらえれば良い、というレベルのものであれば ```メンションはむしろ不要``` です。

@channel や @here については、チャネルをウォッチしている全員にすぐに、確実に知らせなければならない場合に利用します。 ```濫用しない様にしましょう ``` 通知が狼少年になってしまっては、通知が有効に働かなくなるからです。",,,,
,,,,,「メンター」とは、新しく入ったメンバーの技術やオフィス生活をサポートする存在です。簡単に言えば、あなたの相談相手になってくれる存在のことです。
,,,,,"それでは、早速ですが、私と一緒におさらいをしていきましょう。 :point_up:
準備はいいですか？OKなら、「はい」と入力してください。"
,,,,,ありがとうございます、完璧です！それでは早速、おさらいを始めましょう！ :muscle:
,,,,,さて、まずは完全ガイドの読破、お疲れ様でした！ 内容はバッチリ理解できましたか？理解できたなら「はい」を、まだ自信がないなら「いいえ」を入力してください。
,,,,,
,,,,,
,,,,,まずは、slackとgoogleアカウントのアイコンの設定についてです。Nextremer/dataremerは東京と高知、そしてインドにオフィスがあります。遠隔で作業をすることも多いので、一目で誰の発言かわかるように、顔写真をアイコンに設定しましょう。 :ghost:
,,,,,アイコンの設定はこちらからできます→
,,,,,早速、変えてみましょう。変更できたら、「できた」っと入力して教えてください。
,,,,,とても素敵アイコンですね！これで、あなたのことがちょっとだけ、オフィスのみんなにわかってもらえたような気がします。
,,,,,でも…まだまだ、これでは足りません。続けて、自己紹介をしましょう。
,,,,,そうだ、その前に。#r-tokyo #r-kochi #r-randam のチャンネルには参加していますか？まだなら
